Start,End,Category,Descriptors,,
67:25:00,48,67:40:00,48,Q4,75 Press - Full Press - Retain - A25e - Left - TO - Left - Retain - Full Press - Full Press - A25e - Left - CP - Left - TO C - Full Press - Retain - Full Press - Outlet - Deep Press - A25e - Right - TO - Right - Left - Right - TO C - Full Press - Retain - 75 Press - TO - Left - Deep Press - A25e - A25e - CP - Right - Retain - TO - Left - Full Press - TO - Left - Full Press - A25e - Right - TO - Right - Full Press - TO - Left - Right - TO - Centre Top - Counterattack - Right - CP - BLine R - PCW - on target - saved - off target - Right - Deep Press - TO - Right - Counterattack - Centre Top - CP - Centre Top - Centre Top - TO C - 75 Press - Breach - A25e - Centre Top - CP - Right - TO C - Right - TO C - 75 Press - TO - Left - Full Press - Retain - A25e - Left - CP - Left - Retain - Left - Full Press - TO - Left - 75 Press - TO - Right - Full Press - Retain - Full Press - TO - Centre Top - Counterattack - A25e - Right - CP - Right - GSO - off target - TO C - Full Press - TO - Centre Top - Centre Top - Full Press - TO - Centre Top - Counterattack - Centre Top - Breach - A25e - Centre Top - TO - Centre Top - Counterattack - Breach - A25e - Right - TO - Right - Deep Press - Retain - Deep Press - TO - Centre Top - 75 Press - TO - Centre Top - Counterattack - TO - A25e - Right - CP - Right - Retain - CP - Right - PCW - GSO - on target - saved - GSO - on target - saved - CP - Right - GSO - TO C - on target - saved - Counterattack - TO - Right - A25e - Centre Top - CP - Left - TO C - Full Press - Retain
67:23:00,68,67:49:00,68,Opp BS2,75 Press - A25e
67:34:00,32,67:53:00,32,Opp A25 E,Left - TO
67:47:00,36,68:12:00,36,Opp TO4,Left
67:55:00,8,68:21:00,8,Own BS2,Retain - Full Press
68:01:00,44,68:28:00,32,Own BS2,Full Press - A25e
68:20:00,88,68:39:00,88,Own  A25 E,Left - CP
68:11:00,4,68:44:00,4,Own Circle possesion,Left - TO C
68:30:00,44,68:55:00,44,Own TO C,
69:04:00,16,69:30:00,16,Opp BS1,Full Press - Retain
69:55:00,16,70:21:00,16,Opp BS3,Full Press - Outlet
70:03:00,28,70:28:00,28,Opp Outlet,Deep Press - A25e
70:03:00,8,70:22:00,8,Opp A25 E,Right - TO
70:12:00,12,70:37:00,12,Opp TO4,Right
70:28:00,60,70:53:00,60,Own TO1,Left
70:16:00,68,70:50:00,68,Opp Circle Possession,Right - TO C
70:31:00,68,70:56:00,68,Opp TO C,
70:50:00,76,71:16:00,76,Own BS1,Full Press - Retain
71:04:00,72,71:30:00,72,Own BS2,75 Press - TO
71:21:00,56,71:46:00,56,Own TO2,Left
71:26:00,24,71:52:00,24,Opp BS3,Deep Press - A25e
71:37:00,0,71:56:00,0,Opp A25 E,Right - CP
71:32:00,80,72:06:00,80,Opp Circle Possession,BLine R - PCW
71:48:00,28,71:58:00,28,Opp PCW,
72:36:00,76,72:48:00,76,Own PCD,
72:24:00,52,72:49:00,52,Opp GSO,on target - saved
72:30:00,64,72:55:00,64,Opp GSO,off target
72:49:00,24,73:14:00,24,Opp TO C,
72:54:00,72,73:19:00,72,Own TO2,Right
72:59:00,16,73:24:00,16,Opp Outlet,Deep Press - TO
73:09:00,40,73:34:00,40,Opp TO3,Right - Counterattack
72:58:00,24,73:29:00,24,Own counter attack,
73:08:00,8,73:27:00,8,Own  A25 E,Centre Top - CP
73:00:00,68,73:33:00,68,Own Circle possesion,Centre Top - TO C
