Start,End,Category,Descriptors
00:11,22,17:43,54,Q1,75 Press - A25e - Right - BS 4 - Long corner - TO - Right - Counterattack - A25e - Left - CP - Left - Retain - Opp HB ATT - CP - Left - TO C - TO - Right - BS 3 - Full Press - TO - Right - TO - Left - A25e - Counterattack - A25e - Right - CP - BLine R - Retain - Retain - BS 4 - Own HB ATT - TO - Left - TO - Right - BS 2 - 75 Press - TO - Left - BS 1 - Full Press - Retain - BS 2 - 75 Press - A25e - Right - Retain - Retain - BS 4 - Retain - CP - Right - PCW - GSO - on target - saved - Retain - Own HB ATT - Retain - A25e - Right - BS 4 - Own HB ATT - A25e - Left - CP - CP - Bline L - TO C - BS 1 - Full Press - Retain - BS 3 - A25e - Right - BS 4 - TO - Right - BS 1 - 75 Press - A25e - Right - BS 4 - TO - Right - Counterattack - TO - Left - TO - Right - Counterattack - TO - Centre Top - BS 3 - A25e - Right - CP - BLine R - GSO - on target - saved - TO C - Counterattack - TO - BS 2 - Full Press - Retain - BS 3 - 75 Press - A25e - Left - CP - Left - Retain - Centre Top - PCW - on target - saved - Left - TO C - Counterattack - A25e - Right - TO - Right - BS 1 - 75 Press - A25e - Left - TO - Left - BS 1 - 75 Press - TO - Centre Top - BS 1 - Deep Press - TO - Centre Top - BS 2 - Full Press - A25e - Right - TO - Right - Counterattack - A25e - Left - CP - Left - TO C - Retain - TO C - BS 1 - 75 Press - TO - Left - TO - Right - TO - Centre Top - Counterattack - A25e - Centre Top - CP - Left - TO C - TO - Right - Outlet - Counterattack - BS 3 - A25e - Left - BS 4 - Own HB ATT - TO - Left - TO - Right - Counterattack - A25e - Right - Retain - A25e - Left - TO - Left - BS 1 - Full Press - Retain - BS 1 - Full Press - TO - Right - Counterattack - A25e - Left - Left - BS 4 - Own HB ATT - A25e - Right - TO - Centre Top - TO - Left - BS 3 - 75 Press - TO - Centre Top - TO - Left - TO - Left - Counterattack - A25e - Right - BS 4 - CP - Right - GSO - off target - TO C - BS 1
37:13,76,37:38,76,OPP TO4,Centre Top - BS 1
37:29,64,55:34,26,Q3,75 Press - TO - Left - BS 2 - Full Press - A25e - Right - BS 4 - TO - Centre Top - BS 1 - 75 Press - 75 Press - A25e - Left - TO - Left - Counterattack - TO - Left - Counterattack - A25e - Right - Retain - BS 3 - 75 Press - Retain - 75 Press - A25e - Right - TO - Right - TO - Left - TO - Right - TO - Centre Top - BS 2 - 75 Press - Retain - BS 3 - Full Press - TO - Centre Top - BS 3 - Full Press - A25e - A25e - Right - BS 4 - Retain - BS 4 - TO - Centre Top - Counterattack - TO - Right - BS 2 - 75 Press - Full Press - TO - Left - Counterattack - A25e - Right - Right - TO - Right - BS 1 - Full Press - TO - Left - Retain - BS 3 - 75 Press - A25e - Right - Retain - Centre Top - CP - Centre Top - TO C - BS 1 - Full Press - TO - Right - BS 4 - Left - BS 4 - Retain - BS 4 - Own HB ATT - Retain - BS 4 - Own HB ATT - A25e - Right - TO - Right - BS 1 - 75 Press - Retain - BS 1 - Full Press - Retain - BS 2 - 75 Press - TO - Left - Right - CP - Centre Top - Retain - CP - Bline L - TO C - TO - Right - BS 3 - 75 Press - A25e - Right - BS 4 - Own HB ATT - A25e - Centre Top - CP - Centre Top - TO C - BS 1 - Full Press - Retain - BS 3 - Deep Press - TO - Left - BS 1 - Full Press - A25e - Left - TO - Centre Top - BS 1 - 75 Press - TO - Centre Top - Centre Top - BS 3 - 75 Press - A25e - Left - CP - Left - BS 4 - Retain - CP - Centre Top - TO C - BS 1 - 75 Press - Retain - BS 2 - Deep Press - TO - Right - Outlet - TO - Centre Top - BS 1 - 75 Press - A25e - Right - PCW - on target - saved - BS 4 - CP - Bline L - PCW - GSO - on target - saved - Retain - TO - Right - BS 2 - 75 Press - TO - Full Press - Right - Counterattack - A25e - Right - BS 4 - TO - Right - BS 1 - 75 Press - TO - Left - BS 3 - Full Press - Retain - BS 3 - A25e - Right - 75 Press - TO - Right - BS 1
37:23,94,37:57,86,Own BS2,75 Press - A25e
37:49,14,38:08,14,Own  A25 E,Right - TO
37:57,82,38:22,82,Own TO4,Right - TO
38:06,32,38:31,32,OPP TO2,Left - TO
38:13,24,38:38,24,Own TO2,Right - TO
38:19,04,38:44,04,OPP TO4,Centre Top - BS 2
38:34,50,39:00,50,Own BS2,75 Press - Retain - BS 3
39:02,74,39:28,74,Own BS3,Full Press - TO
39:09,40,39:35,40,OPP BS3,Full Press - A25e
39:10,90,39:35,90,Own TO3,Centre Top - BS 3
39:01,06,39:31,06,Opp Counter Attack,A25e
39:12,06,39:34,42,Opp A25 E,Right - BS 4
39:34,22,40:00,22,OPP BS4,Retain - BS 4
39:45,92,40:11,92,Own BS4,TO
39:55,54,40:20,54,OPP TO4,Centre Top - Counterattack
39:45,46,40:15,46,Own counter attack,TO
40:05,40,40:30,40,Own TO3,Right - BS 2
40:08,74,40:34,74,OPP BS2,Full Press - TO
40:18,06,40:43,06,OPP TO2,Left - Counterattack
40:06,74,40:36,74,Own counter attack,A25e
40:16,84,40:35,84,Own  A25 E,Right - TO
40:24,54,40:49,54,Own TO4,Right - BS 1
40:32,24,40:58,24,OPP BS1,Full Press - TO
40:42,56,41:14,74,OPP TO2,Left - Retain - BS 3
41:10,00,41:36,00,Own BS3,75 Press - A25e
41:08,90,41:27,90,Own  A25 E,Right - Retain
41:13,74,41:32,74,Own  A25 E,Centre Top - CP
41:05,30,41:38,30,Own Circle possesion,Centre Top - TO C
41:33,94,41:58,94,Own TO C,BS 1
41:34,16,42:00,16,OPP BS1,Full Press - TO
41:38,38,42:03,38,OPP TO2,Right - BS 4
41:35,34,41:54,34,Own  A25 E,Left - BS 4
41:40,16,42:06,16,Own BS4,Retain - BS 4
42:01,58,42:27,58,Own BS4,Own HB ATT - Retain - BS 4
42:10,32,42:30,32,Own HB ATT,
42:23,60,42:49,60,Own BS4,Own HB ATT - A25e
42:28,46,42:48,46,Own HB ATT,
42:34,14,42:53,14,Own  A25 E,Right - TO
42:45,64,43:10,64,Own TO4,Right - BS 1
42:53,22,43:18,22,OPP Outlet,
42:54,32,43:20,32,OPP BS1,75 Press - Retain - BS 1
43:04,02,43:30,02,OPP BS1,Full Press - Retain - BS 2
43:13,48,43:39,48,OPP BS2,75 Press - TO
43:21,74,43:46,74,OPP TO1,Left
43:19,32,43:38,32,Own  A25 E,Right - CP
43:09,74,43:42,74,Own Circle possesion,Centre Top - Retain
43:41,16,44:07,16,Own BS4,CP
43:30,14,44:03,14,Own Circle possesion,Bline L - TO C
43:50,70,44:15,70,Own TO C,TO
44:00,54,44:25,54,OPP TO2,Right - BS 3
